Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
2000-01-03,29.8470430857,35.476633939,3.5305756722000003,26.6502178084,14.56088718,21.582046183899998,43.0038761666,16.983583007,23.5222201544,,23.8622397483,72.3165702543,45.1433824417,81.4497606135,28.5251231765,28.584796597600004,26.8625100538,24.393585410100002,32.8969859923,38.1351011175,4.7011802418,16.7468563551,32.2277261182,20.158884521300003,21.3190301333,5.841354665599999,22.564221410300004,,47.3375991808,21.7132372235
2000-01-04,28.6611306936,34.134274817,3.2328390781,26.610431466799998,14.3722513806,21.582046183899998,40.5772004532,17.0409497763,24.8998602237,,23.4051670931,67.7635170258,40.5106285141,78.6832773651,27.1939507616,27.536780408200002,26.2800650712,23.888848089,31.7392922667,36.8460457091,4.4452140691,16.1217384422,31.596399393899997,19.8900993944,20.445802659,5.7663679732,21.833914611199997,,45.566247617399995,20.907353769100002
2000-01-05,30.122174760700002,33.9594297213,3.2801489182,28.473758464699998,14.914205026400001,22.049145354,40.8954530058,17.2281466023,25.781549868000003,,24.569178788200002,65.2576999611,42.761218987199996,81.4497606135,27.748059476199998,27.964668674899997,26.116926969699996,24.393585410100002,33.198570071999995,37.235379703,4.7021572119999995,16.4159115777,31.3258307977,20.085579486700002,20.254784149000002,5.7533268093,22.564221410300004,,44.5034366794,21.0974206216
2000-01-06,31.877325101100002,33.9594297213,2.9962898772,28.5533311478,15.4591528913,22.9033432838,39.7815690718,17.2100307804,24.8998602237,,25.9586796597,67.35406979300001,41.549362578600004,80.04545439600001,25.820154599400002,28.6995202633,26.4876953821,23.9319354213,33.261805443600004,35.9888565797,4.6777329588,16.9727392984,32.4381683597,20.122232004,20.9983919201,5.9641589591,22.4494051351,,45.126952429700005,20.5272200642
2000-01-07,32.5098117102,34.4339127713,3.1382193977,29.3822132643,15.9621816896,23.305925993899997,42.128681647,18.3422696476,24.5062487753,,25.882500883899997,67.60792707729999,43.9730753957,79.6943778417,26.8857482813,29.9211722711,26.973402002399997,24.547468739699998,36.452759578,36.4599834294,4.6777329588,18.1231663817,35.0236016117,20.922478632,21.8306868565,6.662947991599999,22.2826922531,,48.5350328377,21.051804577000002
2000-01-10,32.351690058,34.9309902523,3.0830245842000004,28.9710877345,15.438193358,22.6788260031,43.6801628408,17.756524740299998,28.2455575348,,25.5198899108,69.0983150047,43.758403689,82.854066831,28.1152794527,29.164616205399998,26.5099414869,24.658264737,35.387486780100005,36.724992282399995,4.756867539,18.0916478315,34.8432225476,20.5437359531,22.0455826802,6.5477510438,22.1652354499,,47.64935705600001,21.6676211789
2000-01-11,31.7824521097,35.247312285599996,2.925325117,28.5135448062,15.195661615999999,22.4672120145,42.3673710615,18.3603854694,28.5368300066,,25.8246050142,69.4504396248,42.6296460057,83.5562199397,29.4071068701,29.164616205399998,25.883342869899998,25.2368660564,35.4166723362,35.7827385829,4.9952482494999995,18.0601292813,35.4144229172,20.3116033435,21.533925956999997,6.5618789714,21.956844347399997,,46.9408164306,22.526723351999998
2000-01-12,31.877325101100002,35.066556838000004,2.7499633094,28.5533311478,15.4591528913,22.3872116041,41.2932686965,18.568717421,26.521539390900003,,25.443711135,69.0983150047,42.2834013175,83.9072964941,29.918591837399998,28.990980386999997,26.046480971399998,26.3140493637,36.2095466104,34.6180083154,4.8242784776,18.4541111591,35.1739174984,20.3482558608,22.0217053664,6.4999334428,21.2180031657,,46.0976530864,22.998089145999998
2000-01-13,31.877325101100002,35.247312285599996,3.0514846907999997,28.1024192765,15.6268291574,22.5962449344,42.2480263542,18.2849028783,27.4032290353,,26.0348584356,69.1965823405,43.0243649502,83.0296051082,29.8562955914,28.9537727116,26.4394954885,26.0432147035,36.3603386503,35.2723511623,4.8848506252999995,19.436439308,34.5726539514,20.769759809900002,22.2570674591,6.7042450107,21.0512902837,,46.1472509302,22.9524731015
2000-01-14,31.4061225773,36.0381173689,3.1678668975999997,29.1766504994,15.551973681400002,22.4517280641,42.8049683212,18.4358680606,26.419200414299997,,25.5198899108,70.1219330866,42.892791968699996,83.9915548671,33.8039103391,29.049892539699997,27.3923703084,26.2278746991,36.0587545706,36.724992282399995,5.0128337117,19.436439308,35.1739174984,20.769759809900002,21.7658770048,6.696637665,21.3354599689,,45.7008703362,22.382272544099997
2000-01-18,30.7167121733,34.2531573237,3.2782565245999997,29.839756192600003,15.0504419926,23.047860154099997,44.5553573604,19.625473697,27.1591899373,,25.8246050142,71.1455511686,41.8956072668,81.2742223363,33.47603536,28.311940311599997,26.324557280700002,25.5446327156,34.443820466,37.7261368382,4.9463997432,19.1737847227,35.1438543211,20.0061656992,21.4043062538,6.4119055865,22.2599586783,,46.4519233991,22.237821736300003
2000-01-19,31.248000925,33.643107688,3.3608910455000003,31.5837241656,14.860578587400001,22.6943099535,44.6747020676,19.7009562881,27.3559956615,,26.071424248000003,71.7023994052,42.8512426061,83.9072964941,32.820285401999996,28.411160779299998,27.4850624115,26.0863020358,34.779454361199996,35.0073423093,5.1593792305,19.436439308,34.7891088284,20.042818216500002,20.7016310206,6.466243769400001,21.835598615,,45.3891124611,22.9524731015
2000-01-20,30.0842255642,34.2079684618,3.5797779060000003,30.8344147323,14.2035909314,22.580760984,44.7144836367,19.8911724178,26.4743060171,,25.5016070046,70.4740577068,42.1102789734,83.5562199397,31.354684245599998,28.5072806073,27.459108622600002,26.197098033200003,35.4799077078,34.680170885900004,5.0372579649,19.116000714000002,33.9450056679,19.9328606646,20.2309068353,6.629258318200001,21.903799339499997,,44.9073048358,22.9524731015
2000-01-21,30.024139336300003,34.2757517546,3.5107055393,30.2972991209,14.2789335525,22.854310774200002,45.868149139799996,20.1931027824,25.781549868000003,,25.900783790100004,70.2690482301,41.549362578600004,85.3116027116,32.1120754472,27.8685488469,27.0438480008,25.273798055500002,35.2366947402,33.9440351831,4.952261564,18.4173395172,30.960498064699998,19.2425715886,20.6811647517,6.3445262396,22.7563083952,,44.241276648,22.762406249
2000-01-24,29.3315664993,34.3435350475,3.3511136785000004,29.3822132643,13.6550966497,22.9188272341,43.401691857299994,19.5892420532,26.2223946902,,25.6722474625,67.0380988775,40.164383826,85.3116027116,32.397326679,25.9492529261,27.066094105500003,24.3135660787,34.1714219423,33.1261066245,4.854564551499999,18.0601292813,28.9406797879,19.6274230203,20.4662689279,5.9978486325,22.7828308992,,42.0731423343,22.0477548838
2000-01-25,28.898313171999998,35.7895786284,3.5403530392,30.2972991209,13.148794235799999,22.854310774200002,44.595138929499996,19.8911724178,29.5208586275,,25.6143515929,68.7847796189,38.8694286923,83.6404783128,33.312097870500004,26.4329527058,27.6667389336,24.504381407399997,34.4778702814,33.636494045,4.7754299713,18.3227838665,29.3928779096,19.169266553900002,19.4020229437,5.9978486325,22.1652354499,,43.3130884287,21.622005134299997
2000-01-26,30.4573926636,36.1059006618,3.4753808587,30.6288519675,13.5435895705,22.6452774439,42.645842045,19.0397287897,28.8359747073,,25.443711135,72.3683452714,39.7350404127,81.9763754451,31.639935477399998,25.890340773400002,29.083074269,22.0053161345,35.4166723362,32.5110243484,4.836002119100001,18.3227838665,30.3274206944,19.7801418425,19.4429554815,5.9837207049000005,21.8810657646,,43.8870063353,22.237821736300003
2000-01-27,30.438418065300002,36.806328021300004,3.4693882789,29.879542534200002,13.4290687864,21.757530955,42.4071526305,17.9648566919,29.2295861557,,24.6819233764,72.9833737015,40.3375061701,79.6943778417,32.1743716932,24.960148889299997,29.9173031969,23.162518773200002,36.0587545706,32.3081780658,4.616183841000001,18.1231663817,31.382549645,18.6683488173,18.825556368900003,5.889172266599999,22.0705122215,,41.896007178000005,22.1465896471
2000-01-28,29.173444847,35.7669841975,3.2050839719,29.594407086100002,13.1096160729,21.3059157353,41.3330502656,17.191914958599998,28.9304414549,,24.0359273572,71.343297888,38.523184004099996,78.3322008107,30.820248029800002,26.2004047348,28.4342295473,22.620849453,37.1532129246,32.1445923541,4.5800359463,18.4856297094,30.23698107,18.3262586558,17.8227091914,5.7185503722,21.835598615,,39.0618446765,21.903304075999998
2000-01-31,29.6098606073,37.2356222094,3.2722639449,29.508203346,12.790163359400001,21.582046183899998,43.560818133599994,17.3428801408,28.5840633804,,25.254787770900002,75.1400733963,39.2156733804,78.8166864558,32.4399504263,26.6841045145,29.9173031969,23.008635443600003,38.2476712786,32.0202672132,4.4452140691,19.0109388799,30.4781534016,18.4423249606,18.058071284100002,5.7598473912,23.4686270729,,38.792599238899996,21.2418714294
2000-02-01,29.7679822596,38.1845883094,3.1618743177999997,29.010874076100002,13.0161912227,21.4684972144,46.8626883666,17.5512120924,28.340024282399998,,25.3492494529,74.8284589917,42.9343413312,77.2368419611,33.2465228747,26.296524562800002,31.0518545388,22.5469854548,37.3623760767,33.6790263301,4.5614735139,19.436439308,29.9958087385,17.9047547067,18.313899645699998,5.9163413580999995,22.566861938400002,,41.5842493028,21.903304075999998
