Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,1320.280029,1320.280029,1276.050049,1283.270020,1283.270020,1129400000
2001-01-03,1283.270020,1347.760010,1274.619995,1347.560059,1347.560059,1880700000
2001-01-04,1347.560059,1350.239990,1329.140015,1333.339966,1333.339966,2131000000
2001-01-05,1333.339966,1334.770020,1294.949951,1298.349976,1298.349976,1430800000
2001-01-08,1298.349976,1298.349976,1276.290039,1295.859985,1295.859985,1115500000
2001-01-09,1295.859985,1311.719971,1295.140015,1300.800049,1300.800049,1191300000
2001-01-10,1300.800049,1313.760010,1287.280029,1313.270020,1313.270020,1296500000
2001-01-11,1313.270020,1332.189941,1309.719971,1326.819946,1326.819946,1411200000
2001-01-12,1326.819946,1333.209961,1311.589966,1318.550049,1318.550049,1276000000
2001-01-16,1318.319946,1327.810059,1313.329956,1326.650024,1326.650024,1205700000
2001-01-17,1326.650024,1346.920044,1325.410034,1329.469971,1329.469971,1349100000
2001-01-18,1329.890015,1352.709961,1327.410034,1347.969971,1347.969971,1445000000
2001-01-19,1347.969971,1354.550049,1336.739990,1342.540039,1342.540039,1407800000
2001-01-22,1342.540039,1353.619995,1333.839966,1342.900024,1342.900024,1164000000
2001-01-23,1342.900024,1362.900024,1339.630005,1360.400024,1360.400024,1232600000
2001-01-24,1360.400024,1369.750000,1357.280029,1364.300049,1364.300049,1309000000
2001-01-25,1364.300049,1367.349976,1354.630005,1357.510010,1357.510010,1258000000
2001-01-26,1357.510010,1357.510010,1342.750000,1354.949951,1354.949951,1098000000
2001-01-29,1354.920044,1365.540039,1350.359985,1364.170044,1364.170044,1053100000
2001-01-30,1364.170044,1375.680054,1356.199951,1373.729980,1373.729980,1149800000
2001-01-31,1373.729980,1383.369995,1364.660034,1366.010010,1366.010010,1295300000
2001-02-01,1366.010010,1373.500000,1359.339966,1373.469971,1373.469971,1118800000
2001-02-02,1373.469971,1376.380005,1348.719971,1349.469971,1349.469971,1048400000
2001-02-05,1349.469971,1354.560059,1344.479980,1354.310059,1354.310059,1013000000
2001-02-06,1354.310059,1363.550049,1350.040039,1352.260010,1352.260010,1059600000
2001-02-07,1352.260010,1352.260010,1334.260010,1340.890015,1340.890015,1158300000
2001-02-08,1341.099976,1350.319946,1332.420044,1332.530029,1332.530029,1107200000
2001-02-09,1332.530029,1332.530029,1309.979980,1314.760010,1314.760010,1075500000
2001-02-12,1314.760010,1330.959961,1313.640015,1330.310059,1330.310059,1039100000
2001-02-13,1330.310059,1336.619995,1317.510010,1318.800049,1318.800049,1075200000
